反馈编号,标题,状态,主主题,反馈类型,评论数,互动数,旧版初筛分,初筛档位,源链接,标注方式,人工复核状态,人工主主题,人工根因,复核证据,复核人,复核时间
OWUI-28038,"issue: ComfyUI workflow editor appears in the background when opened from settings and disappears when settings is closed, so it cannot be used.",已关闭,界面与对话流程,问题反馈,1,0,39,观察,https://github.com/open-webui/open-webui/issues/28038,规则初筛,未复核,,,,,
OWUI-28033,"issue: POST /api/v1/models/sync fails with TypeError for any already-existing model, and returns HTTP 200 with []",开放,模型与API连接,问题反馈,4,0,63,P2候选,https://github.com/open-webui/open-webui/issues/28033,规则初筛,未复核,,,,,
OWUI-28032,feat: bulk actions fore managing content,已关闭,其他,功能建议,4,0,41,观察,https://github.com/open-webui/open-webui/issues/28032,规则初筛,未复核,,,,,
OWUI-28020,"issue: v0.11.0: root path / hangs indefinitely (never resolves session check), both signed-in and signed-out",已关闭,性能与稳定性,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28020,规则初筛,未复核,,,,,
OWUI-28019,"issue: Startup process always hangs at ""open_webui.utils.automations:scheduler_worker_loop:213"" using docker",已关闭,安装与升级,问题反馈,6,0,59,P2候选,https://github.com/open-webui/open-webui/issues/28019,规则初筛,未复核,,,,,
OWUI-28018,issue: Enabling tools causes system prompt to be ignored.,已关闭,Agent/工具/搜索,问题反馈,4,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28018,规则初筛,未复核,,,,,
OWUI-28016,Bug: Tool call displays green success icon when result contains an error,开放,Agent/工具/搜索,问题反馈,3,0,59,P2候选,https://github.com/open-webui/open-webui/issues/28016,规则初筛,未复核,,,,,
OWUI-28013,"issue: [Bug]: Windows/uvx v0.11.0 cannot resolve external OpenAI-compatible APIs via aiodns, while standard DNS resolution succeeds",已关闭,模型与API连接,问题反馈,24,1,66,P2候选,https://github.com/open-webui/open-webui/issues/28013,规则初筛,未复核,,,,,
OWUI-28012,issue: Claude Model with native function calling cannot use web search,已关闭,模型与API连接,问题反馈,5,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28012,规则初筛,未复核,,,,,
OWUI-28003,issue: private channel navbar lock icon is oversized for its container and renders distorted,已关闭,其他,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28003,规则初筛,未复核,,,,,
OWUI-28002,issue: workspace view filter chevron squashes on narrow viewports,已关闭,其他,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28002,规则初筛,未复核,,,,,
OWUI-27999,issue: admin Users list profile images squash into ovals on narrow viewports,已关闭,知识库与RAG,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/27999,规则初筛,未复核,,,,,
OWUI-27996,issue: Docker container broken: registry.ollama.ai/library/gemma3:12b does not support tools,已关闭,安装与升级,问题反馈,3,0,62,P2候选,https://github.com/open-webui/open-webui/issues/27996,规则初筛,未复核,,,,,
OWUI-27994,issue: Overview graph sibling nodes overlap when a message has multiple branches,已关闭,界面与对话流程,问题反馈,3,0,47,观察,https://github.com/open-webui/open-webui/issues/27994,规则初筛,未复核,,,,,
OWUI-27988,"issue: Knowledge reset endpoint leaves orphaned file rows, storage blobs, and per-file vector collections (inconsistent with sync/cleanup and file/remove)",开放,模型与API连接,问题反馈,1,0,51,P2候选,https://github.com/open-webui/open-webui/issues/27988,规则初筛,未复核,,,,,
OWUI-27987,"issue: Silent failures in background knowledge file processing: orphaned files, sync/diff re-upload loop, and a duplicate-content race that links zero or two copies",开放,知识库与RAG,问题反馈,0,0,47,观察,https://github.com/open-webui/open-webui/issues/27987,规则初筛,未复核,,,,,
OWUI-27984,feat: Support downloading files generated on disk when using the Jupyter code interpreter engine,已关闭,知识库与RAG,功能建议,3,0,37,观察,https://github.com/open-webui/open-webui/issues/27984,规则初筛,未复核,,,,,
OWUI-27982,issue: selecting a knowledge base in folder settings crashes when the folder data has no files key,开放,知识库与RAG,问题反馈,4,0,78,P0/P1候选,https://github.com/open-webui/open-webui/issues/27982,规则初筛,未复核,,,,,
OWUI-27836,"ENABLE_KB_EXEC's ""no knowledge attached"" branch injects MORE tools than the ""knowledge attached"" branch — is this intentional?",已关闭,知识库与RAG,咨询/待判定,1,0,29,观察,https://github.com/open-webui/open-webui/issues/27836,规则初筛,未复核,,,,,
OWUI-27835,"Builtin knowledge/notes tools are injected with no existence check, wasting tool-call round trips when there's nothing to search",已关闭,知识库与RAG,问题反馈,5,1,58,P2候选,https://github.com/open-webui/open-webui/issues/27835,规则初筛,未复核,,,,,
OWUI-27830,"bug: Open Terminal ""Ports"" panel ignores features.terminal (still shown with OPEN_TERMINAL_ENABLE_TERMINAL=false)",已关闭,其他,功能建议,3,0,37,观察,https://github.com/open-webui/open-webui/issues/27830,规则初筛,未复核,,,,,
OWUI-27818,issue: OFFLINE_MODE does not prevent the Whisper model from downloading,已关闭,模型与API连接,问题反馈,1,0,39,观察,https://github.com/open-webui/open-webui/issues/27818,规则初筛,未复核,,,,,
